Latitude,Longitude,Community Areas,Area(unit)
41.883092600000005,-87.7465917,Austin,170037750.826
41.922362,-87.760149,Belmont Cragin,109099407.211
41.895286,-87.750914,Austin,170037750.826
41.856793200000006,-87.67105620000001,Lower West Side,81550723.8231
41.855477,-87.683116,Lower West Side,81550723.8231
41.853685,-87.680625,Lower West Side,81550723.8231
41.8568282,-87.67598459999999,Lower West Side,81550723.8231
41.85533970000001,-87.6531421,Lower West Side,81550723.8231
41.859209,-87.643162,Lower West Side,81550723.8231
41.8899014,-87.7222752,Humboldt Park,125010425.593
41.8665624,-87.6835828,"Little Italy, UIC",71376244.1225
41.763242299999995,-87.65161590000001,Englewood,173600015.009
41.8527535,-87.6315856,Chinatown,10624727.4605
41.8501916,-87.63194759999999,Chinatown,10624727.4605
41.8044893,-87.7357034,Archer Heights,55922505.7212
41.766965,-87.656252,Englewood,173600015.009
41.770649,-87.65271700000001,Englewood,173600015.009
41.7507722,-87.6335043,Chatham,82320670.3112
41.7580548,-87.6344422,Grand Crossing,98853167.7093
41.7709298,-87.64576140000001,Englewood,173600015.009
41.763195,-87.66705999999999,Englewood,173600015.009
41.762853,-87.661952,Englewood,173600015.009
41.7712678,-87.72989759999999,West Lawn,82315301.6831
41.7932731,-87.7332047,West Elsdon,32711091.4259
41.770322,-87.68206490000001,Chicago Lawn,98279465.1151
41.776682799999996,-87.7349002,West Lawn,82315301.6831
41.7894991,-87.7319215,West Elsdon,32711091.4259
41.766687299999994,-87.71753100000001,West Lawn,82315301.6831
41.8360883,-87.6511046,Bridgeport,58291519.276
41.826692,-87.669935,Mckinley Park,39431799.6479
41.9397886,-87.6537619,Lake View,76561177.2562
41.8640892,-87.71249040000001,North Lawndale,89487422.0244
41.870492999999996,-87.723088,Garfield Park,89976069.5947
41.8726088,-87.7254208,Garfield Park,89976069.5947
41.851545,-87.702616,Little Village,127998297.819
41.8515903,-87.72973209999999,North Lawndale,89487422.0244
41.892893,-87.753943,Austin,170037750.826
41.883187899999996,-87.75482199999999,Austin,170037750.826
41.881945,-87.7356497,Garfield Park,89976069.5947
41.8855999,-87.7101069,Garfield Park,89976069.5947
41.893838,-87.74363699999999,Austin,170037750.826
41.8832865,-87.73310529999999,Garfield Park,89976069.5947
41.884975,-87.733302,Garfield Park,89976069.5947
41.9028196,-87.70948809999999,Humboldt Park,125010425.593
41.7678005,-87.5909474,South Shore,81812716.3904
41.763898,-87.595578,Grand Crossing,98853167.7093
41.758432,-87.59095400000001,South Shore,81812716.3904
41.7402062,-87.7288911,Ashburn,135460337.208
41.903988,-87.709434,Humboldt Park,125010425.593
41.874115,-87.694197,Garfield Park,89976069.5947
41.9240062,-87.7733024,Belmont Cragin,109099407.211
41.918223499999996,-87.7158859,Logan Square,71256806.5518
41.8770816,-87.7255603,Garfield Park,89976069.5947
41.7344345,-87.55750069999999,South Chicago,93272185.0092
41.856016600000004,-87.7297733,North Lawndale,89487422.0244
41.891735600000004,-87.7210939,Humboldt Park,125010425.593
41.7840306,-87.606022,Woodlawn,40515739.083
41.7660837,-87.57140270000001,South Shore,81812716.3904
41.8888331,-87.75538990000001,Austin,170037750.826
41.6852705,-87.6253388,West Pullman,99365198.0822
41.67635429999999,-87.62048929999999,West Pullman,99365198.0822
41.899186,-87.72166899999999,Humboldt Park,125010425.593
42.0193686,-87.67013409999998,Rogers Park,51259902.4506
41.7869882,-87.649516,Englewood,173600015.009
41.7838578,-87.61572220000001,Washington Park,42373881.4842
41.918779,-87.76576109999999,Belmont Cragin,109099407.211
41.9176654,-87.7599655,Belmont Cragin,109099407.211
41.92053,-87.760593,Belmont Cragin,109099407.211
41.9178773,-87.7609472,Belmont Cragin,109099407.211
41.877555,-87.6849515,United Center,32520512.7053
41.8290186,-87.6948102,Brighton Park,75892790.3114
41.846169,-87.697562,Little Village,127998297.819
41.766539,-87.66905799999999,Englewood,173600015.009
41.765263299999994,-87.6674908,Englewood,173600015.009
41.7686982,-87.6845561,Chicago Lawn,98279465.1151
41.751651200000005,-87.7304267,Ashburn,135460337.208
41.7689714,-87.6602705,Englewood,173600015.009
41.7689008,-87.6663751,Englewood,173600015.009
41.7283081,-87.6775631,Beverly,88779363.9384
